physiological,safety,belonging,esteem,wealth,actions
"[0.252, 1.0, 0.912, 0.29402999999999996]","[0.757, 1.0, 1.0, 0.3390047339191234]","[0.372, 1.0, 1.0]","[0.42662999999999995, 1.0, 1.0]",1010970.0083333334,go_home
"[0.188, 1.0, 1.0, 0.68607]","[0.757, 1.0, 0.9851697287611414, 0.3429999999999999]","[0.5618719165731597, 1.0, 1.0]","[0.74347, 1.0, 0.95675]",1108689.6583333332,go_home
"[0.252, 1.0, 0.9184278821125403, 0.68607]","[0.43300000000000005, 1.0, 1.0, 0.3429999999999999]","[0.5469517895396089, 0.9969999999999999, 1.0]","[0.42662999999999995, 1.0, 1.0]",3964.7,go_home
"[0.214679648430061, 1.0, 1.0, 0.46038090026310957]","[0.634752020219978, 1.0, 1.0, 0.3429999999999999]","[0.372, 0.9969999999999999, 1.0]","[0.42662999999999995, 1.0, 1.0]",1992.1666666666667,go_hospital
"[0.252, 1.0, 1.0, 0.68607]","[0.7365991760275737, 1.0, 1.0, 0.3429999999999999]","[0.6279999999999999, 1.0, 1.0]","[0.74347, 1.0, 1.0]",790220.0083333334,go_home
"[0.2008, 1.0, 1.0, 0.29108969999999995]","[0.7813, 1.0, 1.0, 0.23730331374338637]","[0.39760000000000006, 1.0, 1.0]","[0.4797007, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.17520000000000002, 1.0, 1.0, 0.6792092999999999]","[0.7813, 1.0, 1.0, 0.24009999999999992]","[0.5494975332585278, 1.0, 1.0]","[0.7616883, 1.0, 1.0]",1108639.6583333332,go_grocery
"[0.2008, 1.0, 1.0, 0.6792092999999999]","[0.4897, 1.0, 1.0, 0.24009999999999992]","[0.5375614316316871, 1.0, 1.0]","[0.4797007, 1.0, 1.0]",3914.7,go_grocery
"[0.0858718593720244, 0.9, 0.8, 0.4557770912604785]","[0.5712768181979803, 0.8, 0.8, 0.24009999999999992]","[0.29760000000000003, 0.6978999999999999, 0.9]","[0.37970069999999995, 0.95, 0.85]",1992.1666666666667,go_hospital
"[0.2008, 1.0, 1.0, 0.6792092999999999]","[0.7629392584248164, 1.0, 1.0, 0.24009999999999992]","[0.6023999999999999, 1.0, 1.0]","[0.7616883, 1.0, 1.0]",790170.0083333334,go_grocery
"[0.08032, 0.9, 0.8, 0.28817880299999993]","[0.70317, 0.8, 0.8, 0.16611231962037046]","[0.3180800000000001, 0.7, 0.9]","[0.426933623, 0.95, 0.85]",1010970.0083333334,go_hospital
"[0.57008, 0.9, 0.8, 0.6724172069999999]","[1.0, 0.8, 0.8, 0.16806999999999994]","[0.9395980266068222, 0.7, 0.9]","[1.0, 0.95, 0.85]",1108589.6583333332,go_grocery
"[0.58032, 0.9, 0.8, 0.6724172069999999]","[0.9407300000000001, 0.8, 0.8, 0.16806999999999994]","[0.9300491453053497, 0.7, 0.9]","[0.926933623, 0.95, 0.85]",3914.7,go_study
"[0.034348743748809765, 0.81, 0.6400000000000001, 0.4512193203478737]","[0.5141491363781823, 0.6400000000000001, 0.6400000000000001, 0.16806999999999994]","[0.23808000000000004, 0.48852999999999985, 0.81]","[0.33793362299999996, 0.9025, 0.7224999999999999]",1992.1666666666667,go_home
"[0.58032, 0.9, 0.8, 0.6724172069999999]","[1.0, 0.8, 0.8, 0.16806999999999994]","[0.9819199999999999, 0.7, 0.9]","[1.0, 0.95, 0.85]",790120.0083333334,go_grocery
"[0.032128000000000004, 0.81, 0.6400000000000001, 0.28529701496999993]","[0.632853, 0.6400000000000001, 0.6400000000000001, 0.11627862373425932]","[0.2544640000000001, 0.48999999999999994, 0.81]","[0.37997092446999997, 0.9025, 0.7224999999999999]",1010970.0083333334,go_hospital
"[0.728032, 0.81, 0.6400000000000001, 0.6656930349299999]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.11764899999999995]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108589.6583333332,go_home
"[0.232128, 0.81, 0.6400000000000001, 0.6656930349299999]","[0.8466570000000001, 0.6400000000000001, 0.6400000000000001, 0.11764899999999995]","[0.7440393162442798, 0.48999999999999994, 0.81]","[0.8249709244700001, 0.9025, 0.7224999999999999]",3914.7,go_study
"[0.11373949749952392, 1.0, 0.9120000000000001, 0.446707127144395]","[0.5627342227403641, 1.0, 0.9120000000000001, 0.11764899999999995]","[0.29046400000000006, 0.8419709999999998, 1.0]","[0.40076092447, 1.0, 1.0]",1992.1666666666667,go_home
"[0.732128, 0.81, 0.6400000000000001, 0.6656930349299999]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.11764899999999995]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790120.0083333334,go_home
"[0.012851200000000002, 0.7290000000000001, 0.5120000000000001, 0.28244404482029994]","[0.5695677, 0.5120000000000001, 0.5120000000000001, 0.08139503661398152]","[0.20357120000000006, 0.3429999999999999, 0.7290000000000001]","[0.3381741227783, 0.8573749999999999, 0.6141249999999999]",1010970.0083333334,go_hospital
"[0.3912128, 1.0, 0.9120000000000001, 0.6590361045806998]","[1.0, 1.0, 0.9120000000000001, 0.08235429999999996]","[0.9, 0.843, 1.0]","[0.99, 1.0, 1.0]",1108589.6583333332,go_home
"[0.09285120000000001, 0.7290000000000001, 0.5120000000000001, 0.6590361045806998]","[0.7619913000000001, 0.5120000000000001, 0.5120000000000001, 0.08235429999999996]","[0.5952314529954238, 0.3429999999999999, 0.7290000000000001]","[0.7342241227783001, 0.8573749999999999, 0.6141249999999999]",3914.7,go_study
"[0.14549579899980958, 1.0, 1.0, 0.442240055872951]","[0.6064608004663277, 1.0, 1.0, 0.08235429999999996]","[0.3323712000000001, 1.0, 1.0]","[0.45667722277830003, 1.0, 1.0]",1992.1666666666667,go_hospital
"[0.39285120000000007, 1.0, 0.9120000000000001, 0.6590361045806998]","[1.0, 1.0, 0.9120000000000001, 0.08235429999999996]","[0.9, 0.843, 1.0]","[0.99, 1.0, 1.0]",790120.0083333334,go_home
"[0.005140480000000001, 0.6561000000000001, 0.40960000000000013, 0.27961960437209693]","[0.51261093, 0.40960000000000013, 0.40960000000000013, 0.05697652562978706]","[0.16285696000000005, 0.24009999999999992, 0.6561000000000001]","[0.300974969272687, 0.8145062499999999, 0.5220062499999999]",1010970.0083333334,go_home
"[0.25648512, 1.0, 1.0, 0.6524457435348928]","[1.0, 1.0, 1.0, 0.05764800999999997]","[0.8200000000000001, 1.0, 1.0]","[0.9811, 1.0, 1.0]",1108539.6583333332,go_grocery
"[0.037140480000000003, 0.6561000000000001, 0.40960000000000013, 0.6524457435348928]","[0.6857921700000001, 0.40960000000000013, 0.40960000000000013, 0.05764800999999997]","[0.47618516239633907, 0.24009999999999992, 0.6561000000000001]","[0.653459469272687, 0.8145062499999999, 0.5220062499999999]",3914.7,go_study
"[0.05819831959992383, 0.9, 0.8, 0.4378176553142215]","[0.5458147204196949, 0.8, 0.8, 0.05764800999999997]","[0.26589696000000007, 0.7, 0.9]","[0.406442728272687, 0.95, 0.85]",1992.1666666666667,go_hospital
"[0.25714048, 1.0, 1.0, 0.6524457435348928]","[1.0, 1.0, 1.0, 0.05764800999999997]","[0.8200000000000001, 1.0, 1.0]","[0.9811, 1.0, 1.0]",790070.0083333334,go_grocery
"[0.102056192, 1.0, 0.7276800000000001, 0.276823408328376]","[0.5613498370000001, 0.8276800000000002, 0.7276800000000001, 0.03988356794085094]","[0.23028556800000005, 0.6680699999999999, 0.9904900000000002]","[0.3678677226526914, 1.0, 0.8437053124999999]",1010970.0083333334,go_home
"[0.602594048, 0.9, 0.8, 0.6459212860995439]","[1.0, 0.8, 0.8, 0.04035360699999998]","[1.0, 0.7, 0.9]","[1.0, 0.95, 0.85]",1108489.6583333332,go_grocery
"[0.014856192000000002, 0.5904900000000002, 0.32768000000000014, 0.6459212860995439]","[0.6172129530000001, 0.32768000000000014, 0.32768000000000014, 0.04035360699999998]","[0.3809481299170713, 0.16806999999999994, 0.5904900000000002]","[0.5815789276526915, 0.7737809374999999, 0.4437053124999999]",3914.7,go_study
"[0.023279327839969534, 0.81, 0.6400000000000001, 0.4334394787610793]","[0.4912332483777254, 0.6400000000000001, 0.6400000000000001, 0.04035360699999998]","[0.21271756800000008, 0.48999999999999994, 0.81]","[0.36173402816269146, 0.9025, 0.7224999999999999]",1992.1666666666667,go_home
"[0.602856192, 0.9, 0.8, 0.6459212860995439]","[1.0, 0.8, 0.8, 0.04035360699999998]","[1.0, 0.7, 0.9]","[1.0, 0.95, 0.85]",790020.0083333334,go_grocery
"[0.1408224768, 1.0, 0.9821440000000001, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 0.6400000000000001, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 0.2621440000000001, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 0.9120000000000001, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 0.6400000000000001, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
"[0.1408224768, 1.0, 1.0, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 1.0, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 0.9, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 1.0, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 1.0, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
"[0.1408224768, 1.0, 1.0, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 0.9, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 1.0, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 0.9, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 0.9, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
"[0.1408224768, 1.0, 1.0, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 1.0, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 0.9, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 1.0, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 0.9, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
"[0.1408224768, 1.0, 1.0, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 1.0, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 0.9, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 1.0, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 0.9, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
"[0.1408224768, 1.0, 1.0, 0.27405517424509224]","[0.6052148533, 1.0, 0.9821440000000001, 0.027918497558595656]","[0.28422845440000005, 0.967649, 1.0]","[0.4274022731608954, 1.0, 1.0]",1010970.0083333334,go_hospital
"[0.7410376192, 0.81, 0.9, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",1108489.6583333332,go_home
"[0.0059424768000000015, 0.5314410000000002, 0.9, 0.6394620732385484]","[0.5554916577000001, 0.2621440000000001, 0.2621440000000001, 0.028247524899999984]","[0.30475850393365705, 0.11764899999999995, 0.5314410000000002]","[0.5176052456108954, 0.7350918906249998, 0.3771495156249999]",3914.7,go_study
"[0.10931173113598781, 1.0, 1.0, 0.4291050839734685]","[0.5421099235399529, 1.0, 0.9120000000000001, 0.028247524899999984]","[0.2701740544000001, 0.843, 1.0]","[0.4219432850647954, 1.0, 1.0]",1992.1666666666667,go_home
"[0.7411424768, 0.81, 1.0, 0.6394620732385484]","[1.0, 0.6400000000000001, 0.6400000000000001, 0.028247524899999984]","[1.0, 0.48999999999999994, 0.81]","[1.0, 0.9025, 0.7224999999999999]",790020.0083333334,go_home
